               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.054884,             0.23734,                   0,             0.85818,             0.72453,              0.8139,             0.48912,            0.040869,             0.14766,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.055856,             0.21413,                   0,             0.84845,             0.76226,             0.83734,             0.46416,            0.041772,             0.14684,                   0,             0.00235,             0.00235,             0.00235
                  87,            0.058623,             0.23259,                   0,             0.84677,             0.77358,             0.83214,             0.51832,            0.039694,             0.14271,                   0,             0.00226,             0.00226,             0.00226
                  88,            0.054174,             0.23013,                   0,              0.8857,             0.76604,              0.8479,             0.52899,            0.038282,             0.14144,                   0,             0.00217,             0.00217,             0.00217
                  89,            0.051792,             0.21523,                   0,             0.87336,             0.75849,             0.83913,             0.52556,            0.039104,             0.14298,                   0,             0.00208,             0.00208,             0.00208
                  90,            0.058557,              0.2911,                   0,             0.91903,             0.72816,              0.8495,             0.52032,            0.038276,             0.14663,                   0,             0.00199,             0.00199,             0.00199
                  91,            0.056773,             0.23367,                   0,             0.84544,             0.78438,             0.84263,             0.52387,            0.038186,             0.14812,                   0,              0.0019,              0.0019,              0.0019
                  92,            0.053248,             0.23525,                   0,             0.84863,             0.78491,             0.84763,             0.53522,            0.037595,             0.14665,                   0,             0.00181,             0.00181,             0.00181
                  93,            0.049715,             0.22757,                   0,             0.87497,             0.75094,             0.83954,             0.52199,            0.039486,             0.14881,                   0,             0.00172,             0.00172,             0.00172
                  94,            0.052378,             0.20861,                   0,             0.89732,             0.75848,             0.84865,             0.53413,            0.037572,             0.14406,                   0,             0.00163,             0.00163,             0.00163
                  95,            0.052202,             0.23546,                   0,             0.89631,             0.75849,             0.84202,             0.52796,            0.037498,             0.14194,                   0,             0.00154,             0.00154,             0.00154
                  96,            0.054148,             0.22136,                   0,             0.84654,             0.79245,             0.84267,             0.53218,            0.037176,             0.13984,                   0,             0.00145,             0.00145,             0.00145
                  97,            0.054764,             0.19867,                   0,             0.83169,             0.80377,             0.84417,             0.53244,            0.037493,             0.13872,                   0,             0.00136,             0.00136,             0.00136
                  98,            0.048872,             0.21244,                   0,             0.87177,             0.77358,             0.84865,             0.53686,            0.036828,             0.13716,                   0,             0.00127,             0.00127,             0.00127
                  99,            0.050635,             0.21952,                   0,             0.84452,                 0.8,             0.84723,             0.54837,            0.036473,             0.13606,                   0,             0.00118,             0.00118,             0.00118
